,Year,Year ending,Police Region,Suburb,Incidents Recorded,"Rate per 100,000 population"
384,2016,March,2 Eastern, Wellington,"3,100 ","7,121.5 "
385,2016,March,2 Eastern, Whitehorse,"5,842 ","3,443.7 "
386,2016,March,2 Eastern, Wodonga,"2,567 ","6,401.5 "
387,2016,March,2 Eastern, Yarra Ranges,"5,739 ","3,697.2 "
388,2016,March,2 Eastern,Total,"81,315 ","4,913.2 "
389,2016,March,3 Southern Metro, Bayside,"3,828 ","3,719.7 "
390,2016,March,3 Southern Metro, Cardinia,"4,956 ","5,079.3 "
391,2016,March,3 Southern Metro, Casey,"15,786 ","5,046.9 "
392,2016,March,3 Southern Metro, Frankston,"11,185 ","8,017.8 "
393,2016,March,3 Southern Metro, Glen Eira,"5,207 ","3,504.4 "
394,2016,March,3 Southern Metro, Greater Dandenong,"14,066 ","8,779.1 "
395,2016,March,3 Southern Metro, Kingston,"8,365 ","5,263.0 "
396,2016,March,3 Southern Metro, Mornington Peninsula,"8,590 ","5,318.0 "
